"GRID_ID","HURR_FCTR","NONHURR_FCTR"
"0404707420",1.2211,1.1484
"0404707421",1.2211,1.1282
"0404707422",1.2211,1.1453
"0404707423",1.2211,1.0454
"0404807414",1.2211,1.1019
"0404807415",1.2211,1.1029
"0404807416",1.2211,1.1322
"0404807417",1.2211,1.1352
"0404807418",1.2211,1.1453
"0404807419",1.2211,1.1261
"0404807420",1.2211,1.1332
"0404807421",1.2211,1.1484
"0404807422",1.2211,1.1282
"0404807423",1.2211,1.014
"0404807424",1.2211,0.9761
"0404807425",1.2211,0.9761
"0404907387",1.2211,1.1524
"0404907388",1.2211,1.1534
"0404907389",1.2211,1.1433
"0404907390",1.2211,1.0989
"0404907408",1.2211,1.1009
"0404907409",1.2211,1.1181
"0404907410",1.2211,1.1181
"0404907411",1.2211,1.0979
"0404907412",1.2211,1.115
"0404907413",1.2211,1.1171
"0404907414",1.2211,1.1171
"0404907415",1.2211,1.116
"0404907416",1.2211,1.1059
"0404907417",1.2211,1.1059
"0404907418",1.2211,1.1059
"0404907419",1.2211,1.1332
"0404907420",1.2211,1.1282
"0404907421",1.2211,1.1292
"0404907422",1.2211,0.9801
"0404907423",1.2211,0.9158
"0404907424",1.2211,0.9158
"0404907425",1.2211,0.9435
"0405007385",1.2211,1.1544
"0405007386",1.2211,1.1676
"0405007387",1.2211,1.1544
"0405007388",1.2211,1.1443
"0405007389",1.2211,1.1433
"0405007390",1.2211,1.0979
"0405007391",1.2211,1.0908
"0405007392",1.2211,1.0878
"0405007403",1.2211,1.1059
"0405007404",1.2211,1.116
"0405007405",1.2211,1.0797
"0405007406",1.2211,1.0878
"0405007407",1.2211,1.0928
"0405007408",1.2211,1.1191
"0405007409",1.2211,1.1059
"0405007410",1.2211,1.0989
"0405007411",1.2211,1.1282
"0405007412",1.2211,1.1039
"0405007413",1.2211,1.1029
"0405007414",1.2211,1.1019
"0405007415",1.2211,1.1009
"0405007416",1.2211,1.1049
"0405007417",1.2211,1.1322
"0405007418",1.2211,1.116
"0405007419",1.2211,0.9435
"0405007420",1.2211,1.014
"0405007421",1.2211,0.9811
"0405007422",1.2211,0.9158
"0405007423",1.2211,0.9435
"0405007424",1.2211,0.9158
"0405007425",1.2211,0.9158
"0405107348",2.7724,1.2221
"0405107383",1.2211,1.1564
"0405107384",1.2211,1.1736
"0405107385",1.2211,1.1585
"0405107386",1.2211,1.1514
"0405107387",1.2211,1.1575
"0405107388",1.2211,1.1534
"0405107389",1.2211,1.1484
"0405107390",1.2211,1.1059
"0405107391",1.2211,1.0898
"0405107392",1.2211,1.0807
"0405107393",1.2211,1.0807
"0405107394",1.2211,1.0837
"0405107398",1.2211,1.0686
"0405107399",1.2211,1.0686
"0405107400",1.2211,1.0696
"0405107401",1.2211,1.0857
"0405107402",1.2211,1.1029
"0405107403",1.2211,1.0767
"0405107404",1.2211,1.109
"0405107405",1.2211,1.108
"0405107406",1.2211,1.1019
"0405107407",1.2211,1.1029
"0405107408",1.2211,1.0847
"0405107409",1.2211,1.0847
"0405107410",1.2211,1.1059
"0405107411",1.2211,1.0938
"0405107412",1.2211,1.114
"0405107413",1.2211,1.0989
"0405107414",1.2211,1.1221
"0405107415",1.2211,1.0989
"0405107416",1.2211,1.0989
"0405107417",1.2211,0.9286
"0405107418",1.2211,0.9158
"0405107419",1.2211,0.9158
"0405107420",1.2211,0.9158
"0405107421",1.2211,0.9435
"0405107422",1.2211,0.9435
"0405107423",1.2211,0.9158
"0405107424",1.2211,0.9435
"0405107425",1.2211,0.9158
"0405207344",2.7724,1.2736
"0405207345",2.7724,1.2393
"0405207346",2.7724,1.2413
"0405207347",2.7724,1.2373
"0405207348",2.7724,1.2282
"0405207349",2.7724,1.2211
"0405207350",2.7724,1.213
"0405207351",2.7724,1.2009
"0405207352",2.7724,1.2009
"0405207353",2.7724,1.1979
"0405207354",2.7724,1.1827
"0405207355",2.7724,1.1787
