"zip","fire1","fire2","brush_fire","water_weather","water_nonweather","wind","hail","lightning","theft","liability","hurricane","other"
"06390",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10001",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10002",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10003",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10004",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10005",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10006",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10007",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10009",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10010",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10011",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10012",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10013",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10014",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10016",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10017",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10018",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10019",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10020",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10021",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10022",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10023",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10024",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10025",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10026",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10027",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10028",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10029",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10030",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10031",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10032",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10033",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10034",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10035",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10036",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10037",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10038",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10039",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10040",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10041",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10044",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10045",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10055",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10060",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10065",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10069",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10075",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10090",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10095",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
"10103",1.0958,1.0958,1,0.8544,0.6029,0.6257,0.4267,0.4821,1.7614,1.5827,4.3834,0.394
