land_cover_code,land_cover_desc,class
11,"Open Water","Water"
12,"Perennial Ice/Snow","Water"
21,"Developed, Open Space","Developed"
22,"Developed, Low Intensity","Developed"
23,"Developed, Medium Intensity","Developed"
24,"Developed High Intensity","Developed"
31,"Barren Land (Rock/Sand/Clay)","Barren"
41,"Deciduous Forest","Forest"
42,"Evergreen Forest","Forest"
43,"Mixed Forest","Forest"
51,"Dwarf Scrub","Shrubland"
52,"Shrub/Scrub","Shrubland"
71,"Grassland/Herbaceous","Herbaceous"
72,"Sedge/Herbaceous","Herbaceous"
73,"Lichens","Herbaceous"
74,"Moss","Herbaceous"
81,"Pasture/Hay","Planted/Cultivated"
82,"Cultivated Crops","Planted/Cultivated"
90,"Woody Wetlands","Wetlands"
95,"Emergent Herbaceous Wetlands","Wetlands"
